YYYY,MM2,JULIAN,DENSyc,GRID,HANDLER_FIELD,MeanTemp,TotPrecip,ID,SEXc,AGEc,REPRO1,REPROc,MASS_FIELD,DENSd,F_LOAD,B_LOAD,M_LOAD,T_LOAD,LAB,OF_dist,OF_GROOM_t,OF_TIME_MIN,TIME_CAPT,MASS_LAB
2016,5,139,0.5,QUBS,sn,11.3,0,A013,0.5,0.5,scro,0.5,26,11,0,0,0,0,n,NA,NA,NA,425,NA
2016,5,139,0.5,QUBS,hp,11.3,0,A063,-0.5,0.5,lact,0.5,25.5,11,0,0,0,0,y,9713.2,136.56,638,435,24.64
2016,5,139,0.5,QUBS,sn,11.3,0,A064,-0.5,-0.5,non,-0.5,11,11,0,0,0,0,y,NA,NA,NA,438,11.05
2016,5,139,0.5,QUBS,hp,11.3,0,A043,-0.5,0.5,vulv,0.5,26,11,0,0,2,0,n,NA,NA,NA,451,NA
2016,5,139,0.5,QUBS,sn,11.3,0,A067,0.5,-0.5,non,-0.5,11.49,11,0,0,1,0,y,13570.4,72.48,697,526,11.49
2016,5,139,0.5,QUBS,jv,11.3,0,A021,0.5,-0.5,non,-0.5,10.72,11,0,0,0,0,y,6386.02,135.04,714,535,10.82
2016,5,139,0.5,QUBS,jv,11.3,0,A032,0.5,-0.5,non,-0.5,10.56,11,0,0,0,0,y,13735.1,61.12,734,543,10.6
2016,5,140,0.5,QUBS,sn,12,0,A063,-0.5,0.5,vulv,0.5,27,4,0,0,0,0,n,NA,NA,NA,363,NA
2016,5,140,0.5,QUBS,sn,12,0,A021,0.5,-0.5,non,-0.5,11,4,0,0,0,0,n,NA,NA,NA,377,NA
2016,5,140,0.5,QUBS,jv,12,0,A068,0.5,-0.5,non,-0.5,22.5,4,0,0,0,0,y,6636.35,76.88,433,383,23.11
2016,5,140,0.5,QUBS,jv,12,0,A039,0.5,-0.5,non,-0.5,11,4,0,0,0,0,n,NA,NA,NA,368,NA
2016,5,141,0.5,blue,sn,14,0,A060,-0.5,-0.5,non,-0.5,15,1,0,0,0,0,y,17510.2,8.72,432,376,15
2016,5,141,0.5,QUBS,jv,14,0,A052,-0.5,-0.5,non,-0.5,12,1,0,0,0,0,y,4647.79,115.04,418,381,11.04
2016,5,141,0.5,cow,sn,14,0,A069,0.5,-0.5,non,-0.5,15,7,0,0,1,0,y,10343.5,21.84,768,616,14.28
2016,5,141,0.5,cow,hp,14,0,A070,-0.5,-0.5,non,-0.5,16,7,0,0,0,0,y,4882.67,266.8,779,632,16.15
2016,5,141,0.5,cow,sn,14,0,A003,-0.5,0.5,lact,0.5,35.5,7,0,0,0,0,n,NA,NA,NA,678,NA
2016,5,141,0.5,cow,jv,14,0,A071,-0.5,-0.5,non,-0.5,16.5,7,0,0,0,0,y,6789.4,140.72,817,697,15.59
2016,5,141,0.5,cow,sn,14,0,A049,0.5,-0.5,non,-0.5,14.5,7,0,0,0,0,y,3145.08,116.48,751,701,13.5
2016,5,141,0.5,cow,jv,14,0,A072,-0.5,-0.5,non,-0.5,16.5,7,0,0,0,0,y,9627.56,156.8,903,708,14.67
2016,5,141,0.5,cow,jv,14,0,A073,-0.5,0.5,lact,0.5,30,7,0,0,0,0,n,NA,NA,NA,717,NA
2016,5,142,0.5,cow,hp,15.8,0,A040,-0.5,-0.5,non,-0.5,13,1,0,0,0,0,y,3667.47,195.6,430,372,13.23
2016,5,143,0.5,cow,hp,17,0,A019,-0.5,0.5,vulv,0.5,28,2,0,0,0,0,y,7177.84,108.96,449,380,27.06
2016,5,143,0.5,cow,hp,17,0,A070,-0.5,-0.5,non,-0.5,15,2,0,0,0,0,n,NA,NA,NA,395,NA
2016,5,145,0.5,cow,jv,18.8,0,A074,-0.5,-0.5,non,-0.5,14,4,0,0,0,0,y,9404.65,32.88,493,383,12.23
2016,5,145,0.5,cow,hp,18.8,0,A033,0.5,0.5,scro,0.5,30,4,0,0,0,0,y,6039.75,278.48,539,375,NA
2016,5,145,0.5,cow,sn,18.8,0,A075,0.5,-0.5,non,-0.5,19.5,4,0,0,0,0,y,11282.5,103.2,518,386,20.01
